Dohop    ,,Addendum,7-Oct-10,Widget and Exclusivity,,"Exclusivity<P>2.1    By executing this Addendum, the Affiliate confirms that it is entering into the Agreement and the terms<BR>and conditions of the Agreement will immediately be binding on the Affiliate, subject to the terms and<BR>condition of this Addendum.<P>2.2    For the avoidance of doubt, the Company will be responsible for developing, building and maintaining<BR>the Widget at its sole expense.<P>2.3    The parties agree that, as from the Live Date and for the duration of the Term, the Company will be<BR>the sole and exclusive provider of hotel search and hotel comparison services on the Native Sites.<P>2.4 The parties agree that the Company will translate all the content available on Site into the Icelandic<BR>language at its sole expense and for the purpose of making the Site accessible to the Affiliate’s<BR>Icelandic users.<P>2.5 If, at any time during the Term, the Widget is removed from one or more of the Native Sites for any<BR>reason and the parties cannot come to an agreed date as to when it will be placed back on those<BR>Native Sites, the Company reserves the right to suspend Affiliate’s access to the Affiliate Control<BR>Panel immediately and any Commission owing to the Affiliate will be forfeited. The Company also<BR>reserves the right to suspend provision of the Widget to the Affiliate in this case.",http://localhost/contracts/htm/52.htm,http://localhost/contracts/orig/52.pdf
Ebookers Transfer from Orbitz to Expedia,,Assignment,29-Feb-16,Assignment to Expedia,,"Following the acquisition of Orbitz Worldwide, LLC and its group of companies by Expedia, Inc., and as part of an internal reorganization, ebookers Limited is ceasing its trade on 29 February 2016. Accordingly, we wish to transfer all our rights, obligations and liabilities under the Contract to Expedia, inc., for itself and on behalf of its group companies, Travelscape, LLC and VacationSpot  .L. (“Expedia”) on the terms set out below, with such transfer to take effect on 29 February 2016 (“Effective Date”).",http://localhost/contracts/htm/53.htm,http://localhost/contracts/orig/53.pdf
Elvoline,,Distribution Partnership,2-Mar-16,,,,http://localhost/contracts/htm/54.htm,http://localhost/contracts/orig/54.pdf
EuroExpressTrading_8182                                               ,,API Partnership,,,Commission 70% <BR> 30 days written notice.<BR>,,http://localhost/contracts/htm/55.htm,http://localhost/contracts/orig/55.pdf
Exelentia                                                             ,,Affiliate Agreement,,,Commission 70% <BR> 30 days written notice.<BR>,,http://localhost/contracts/htm/56.htm,http://localhost/contracts/orig/56.pdf
FastBooking              ,,Partnership Agreement,22-Nov-12,,Commission 70% <BR> 30 days written notice.<BR>,,http://localhost/contracts/htm/57.htm,http://localhost/contracts/orig/57.pdf
FINN                                                                  ,,Affiliate Agreement,13-Feb-13,,Commission 70% <BR> 30 days written notice.<BR>,,http://localhost/contracts/htm/58.htm,http://localhost/contracts/orig/58.pdf
Fly.com                                                               ,,Affiliate Agreement,4-Jul-12,,Commission 70% <BR> 30 days written notice.<BR>,,http://localhost/contracts/htm/59.htm,http://localhost/contracts/orig/59.pdf
Fusive_7731                                                           ,,Relationship Agreement,7-Jul-08,,Commission 70% <BR> 30 days written notice.<BR>,,http://localhost/contracts/htm/60.htm,http://localhost/contracts/orig/60.pdf
Gekko_8543                                                            ,,Relationship Agreement,24-Apr-08,,Commission 70% <BR> 30 days written notice.<BR>,,http://localhost/contracts/htm/61.htm,http://localhost/contracts/orig/61.pdf
Getaroom,,Distribution Partnership,20-Oct-16,,,,http://localhost/contracts/htm/62.htm,http://localhost/contracts/orig/62.pdf
Global IT Consulting_14959                                            ,,Relationship Agreement,,,Commission 70% <BR> 30 days written notice.<BR>,,http://localhost/contracts/htm/63.htm,http://localhost/contracts/orig/63.pdf
Globicom_6236                                                         ,,Relationship Agreement,18-Nov-08,,Commission 70% <BR> 30 days written notice.<BR>,,http://localhost/contracts/htm/64.htm,http://localhost/contracts/orig/64.pdf
Groupon NDA                                                           ,,NDA,7-Jul-15,,,,http://localhost/contracts/htm/65.htm,http://localhost/contracts/orig/65.pdf
GTA Hotels_17451                                                      ,,API Partnership,20-Jan-10,,Commission 70% <BR> 30 days written notice.<BR>,,http://localhost/contracts/htm/66.htm,http://localhost/contracts/orig/66.pdf
